,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
472,31,Female,Berlin,QA Engineer,11.0,1.5,Middle,JS,"Ruby, SQL",57000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
474,34,Male,Tallinn,Software Engineer,12.0,0.0,Middle,PHP,"Javascript / Typescript, SQL, Go, Docker",54000.0,28.0,full-time,Unlimited contract,English,101-1000,Product,No
475,34,Male,Berlin,Software Engineer,10.0,2.0,Senior,.Net,Python,60000.0,28.0,full-time,Unlimited contract,English,11-50,Product,No
476,29,Male,Tallinn,Mobile Developer,7.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Senior,Android,Kotlin,65000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
477,38,Male,Munich,Software Engineer,15.0,5.0,Senior,Javascript,"Javascript / Typescript, .NET, SQL, AWS, Kubernetes, Docker",80000.0,30.0,full-time,Unlimited contract,English,51-100,Corporation,No
478,25,Female,Berlin,Frontend Developer,4.0,1.0,Middle,Javascript / Typescript,NodeJS,60000.0,23.0,full-time,Unlimited contract,English,11-50,Startup,Yes
480,23,Male,Berlin,Software Engineer,3.0,3.0,Middle,JavaScript,AWS,60000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
481,30,Male,Munich,Software Engineer,10.0,4.0,Senior,.NET,"Python, Javascript / Typescript, Azure",75000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
482,32,Male,Berlin,Engineering Manager,10.0,5.0,Middle,JavaScript,"Javascript / Typescript, Ruby, Kubernetes, Docker",85000.0,24.0,full-time,Unlimited contract,English,101-1000,Product,No
483,28,Male,Berlin,Frontend Developer,2.0,2.0,Junior,JavaScript,"Javascript / Typescript, Google Cloud",47000.0,26.0,full-time,Unlimited contract,German,1000+,Publishing and Technology,No
484,31,Male,Berlin,ML Engineer,4.0,4.0,Junior,python,"Python, Java / Scala, AWS",62000.0,30.0,full-time,Unlimited contract,German,1000+,Product,No
486,40,Female,Berlin,Software Engineer,1.5,1.5,Junior,JavaScript ,Ruby,50000.0,30.0,full-time,Unlimited contract,English,51-100,Startup,No
487,42,Male,Berlin,Software Engineer,17.0,9.0,Senior,Go,"Ruby, AWS, Kubernetes, Docker",75000.0,28.0,full-time,Unlimited contract,English,101-1000,Startup,No
489,27,Male,Berlin,Software Engineer,6.0,3.0,Middle,Java,"C/C++, Kubernetes, Docker",82000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
490,29,Male,Munich,Software Engineer,8.0,6.0,Middle,PHP,"Javascript / Typescript, SQL",75000.0,30.0,full-time,Unlimited contract,English,1000+,Product,No
